Intel Core i5 8250U
Intel Core i5 8257U
Intel Core i5 8259U
Intel Core i5 8260U
Intel Core i5 8265U
Intel Core i5 8269U
Intel Core i5 8279U
Intel Core i5 8300H
Intel Core i5 8310Y
Intel Core i5 8350U
Intel Core i5 8365U
Intel Core i5 8365UE
Intel Core i5 8400
Intel Core i5 8400B
Intel Core i5 8400H
Intel Core i5 8400T
Intel Core i5 8500
Intel Core i5 8500B
Intel Core i5 8500T
Intel Core i5 8600
Intel Core i5 8600K
Intel Core i5 8600T
Intel Core i5 9300H
Intel Core i5 9300HF
Intel Core i5 9400
Intel Core i5 9400F
Intel Core i5 9400H
Intel Core i5 9400T
Intel Core i5 9500
Intel Core i5 9500E
Intel Core i5 9500F
Intel Core i5 9500T
Intel Core i5 9500TE
Intel Core i5 9600
Intel Core i5 9600K
Intel Core i5 9600KF
Intel Core i5 9600T
Intel Core i7 14650HX
Intel Core i7 14700
Intel Core i7 14700F
Intel Core i7 14700HX
Intel Core i7 14700K
Intel Core i7 14700KF
Intel Core i7 14700T
Intel Core i7 10510U
Intel Core i7 10510Y
Intel Core i7 10610U
Intel Core i7 1065G7
Intel Core i7 10700
Intel Core i7 10700E
Intel Core i7 10700F
Intel Core i7 10700K
Intel Core i7 10700KF
Intel Core i7 10700T
Intel Core i7 10700TE
Intel Core i7 10710U
Intel Core i7 10750H
Intel Core i7 10810U
Intel Core i7 10850H
Intel Core i7 10870H
Intel Core i7 10875H
Intel Core i7 11370H
Intel Core i7 11375H
Intel Core i7 11390H
Intel Core i7 11600H
Intel Core i7 1160G7
Intel Core i7 1165G7
Intel Core i7 11700
Intel Core i7 11700F
Intel Core i7 11700K
Intel Core i7 11700KF
Intel Core i7 11700T
Intel Core i7 11800H
Intel Core i7 1180G7
Intel Core i7 11850H
Intel Core i7 11850HE
Intel Core i7 1185G7
Intel Core i7 1185G7E
Intel Core i7 1185GRE
Intel Core i7 1195G7
Intel Core i7 1250U
Intel Core i7 1255U
Intel Core i7 1255UL
Intel Core i7 1260P
Intel Core i7 1260U
Intel Core i7 12650H
Intel Core i7 12650HX
Intel Core i7 1265U
Intel Core i7 1265UE
Intel Core i7 1265UL
Intel Core i7 12700
Intel Core i7 12700E
Intel Core i7 12700F
Intel Core i7 12700H
Intel Core i7 12700HL
Intel Core i7 12700K
Intel Core i7 12700KF
Intel Core i7 12700T
Intel Core i7 12700TE
Intel Core i7 1270P
Intel Core i7 1270PE
Intel Core i7 12800H
Intel Core i7 12800HE
Intel Core i7 12800HL
Intel Core i7 12800HX
Intel Core i7 1280P
Intel Core i7 12850HX
Intel Core i7 1355U
Intel Core i7 1360P
Intel Core i7 13620H
Intel Core i7 13650HX
Intel Core i7 1365U
Intel Core i7 1365UE
Intel Core i7 1365URE
Intel Core i7 1366URE
Intel Core i7 13700
Intel Core i7 13700E
Intel Core i7 13700F
Intel Core i7 13700H
Intel Core i7 13700HX
Intel Core i7 13700K
Intel Core i7 13700KF
Intel Core i7 13700T
